run,eta,seed,episode,mean_reward,std_reward,violation_steps,violation_percentage,cumulative_excess,maximum_overrun,target_tracking_mae_kwh,incentive_steps,unnecessary_incentive_steps,average_offered_incentive_rate,incentive_payment,raw_discomfort,eta_penalty_total
eta_0p00000,0.0,0,2150,0.06768906051498277,0.11020298077822203,40,11.904761904761905,41.978675,3.395175,0.2244736607142857,307,225,0.5961408254402282,140.9693802307927,365.14460302834834,0.0
eta_0p01429,0.01429,0,1900,0.06384373152931697,0.11347578244437932,41,12.202380952380953,39.20955,2.9541500000000003,0.1984880952380952,283,198,0.4387177320622519,144.66357485954268,468.7186377923118,0.4132191666666667
eta_0p03571,0.03571,0,1800,0.05247290622191083,0.0874414004116308,36,10.714285714285714,40.80782500000001,2.9844500000000007,0.20503958333333336,253,170,0.28468040774801584,127.5852196679466,353.22368552767534,0.5564808333333332
eta_0p07143,0.07143,0,2500,0.11189570003609216,0.10970872439329238,38,11.30952380952381,37.623925,2.9541500000000003,0.17880230654761906,93,8,0.18850590585441465,143.19686075239974,429.6624258840379,0.0654775
